"Counting","CITP Australian Citizenship","CED (UR)","AGEP Age","Count",
"Persons, Place of Usual Residence","Australian","Jagajaga","27",1322
"Persons, Place of Usual Residence","Australian","Jagajaga","28",1305
"Persons, Place of Usual Residence","Australian","Jagajaga","29",1234
"Persons, Place of Usual Residence","Australian","Jagajaga","30",1322
"Persons, Place of Usual Residence","Australian","Kooyong","15",1670
"Persons, Place of Usual Residence","Australian","Kooyong","16",1699
"Persons, Place of Usual Residence","Australian","Kooyong","17",1622
"Persons, Place of Usual Residence","Australian","Kooyong","18",1719
"Persons, Place of Usual Residence","Australian","Kooyong","19",1715
"Persons, Place of Usual Residence","Australian","Kooyong","20",1872
"Persons, Place of Usual Residence","Australian","Kooyong","21",1835
"Persons, Place of Usual Residence","Australian","Kooyong","22",1793
"Persons, Place of Usual Residence","Australian","Kooyong","23",1745
"Persons, Place of Usual Residence","Australian","Kooyong","24",1715
"Persons, Place of Usual Residence","Australian","Kooyong","25",1576
"Persons, Place of Usual Residence","Australian","Kooyong","26",1533
"Persons, Place of Usual Residence","Australian","Kooyong","27",1454
"Persons, Place of Usual Residence","Australian","Kooyong","28",1392
"Persons, Place of Usual Residence","Australian","Kooyong","29",1291
"Persons, Place of Usual Residence","Australian","Kooyong","30",1296
"Persons, Place of Usual Residence","Australian","La Trobe","15",2083
"Persons, Place of Usual Residence","Australian","La Trobe","16",2116
"Persons, Place of Usual Residence","Australian","La Trobe","17",2171
"Persons, Place of Usual Residence","Australian","La Trobe","18",2053
"Persons, Place of Usual Residence","Australian","La Trobe","19",2079
"Persons, Place of Usual Residence","Australian","La Trobe","20",1869
"Persons, Place of Usual Residence","Australian","La Trobe","21",1866
"Persons, Place of Usual Residence","Australian","La Trobe","22",1803
"Persons, Place of Usual Residence","Australian","La Trobe","23",1697
"Persons, Place of Usual Residence","Australian","La Trobe","24",1582
"Persons, Place of Usual Residence","Australian","La Trobe","25",1518
"Persons, Place of Usual Residence","Australian","La Trobe","26",1485
"Persons, Place of Usual Residence","Australian","La Trobe","27",1409
"Persons, Place of Usual Residence","Australian","La Trobe","28",1343
"Persons, Place of Usual Residence","Australian","La Trobe","29",1428
"Persons, Place of Usual Residence","Australian","La Trobe","30",1464
"Persons, Place of Usual Residence","Australian","Lalor","15",2222
"Persons, Place of Usual Residence","Australian","Lalor","16",2099
"Persons, Place of Usual Residence","Australian","Lalor","17",2204
"Persons, Place of Usual Residence","Australian","Lalor","18",2083
"Persons, Place of Usual Residence","Australian","Lalor","19",2026
